power	voltage	current	rpm	windSpeed	pitchAngle	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink	timestamp
131.46	1878	70	2397	76	200	230	101300000	1000	0	0	-1	50	265321076
135.975	1813	75	2405	76	200	230	101300000	1000	0	0	-1	50	265333636
127.443	1847	69	2396	76	200	230	101300000	1000	0	0	-1	50	265346196
143.22	1860	77	2384	76	200	230	101300000	1000	0	0	-1	50	265358756
122.034	1849	66	2399	76	200	230	101300000	1000	0	0	-1	50	265371316
140.025	1867	75	2399	76	200	230	101300000	1000	0	0	-1	50	265383876
119.795	1843	65	2395	76	200	230	101300000	1000	0	0	-1	50	265396436
129.168	1872	69	2392	76	200	230	101300000	1000	0	0	-1	50	265408996
127.032	1896	67	2393	76	200	230	101300000	1000	0	0	-1	50	265421556
143.682	1866	77	2400	76	200	230	101300000	1000	0	0	-1	50	265434116
129.168	1872	69	2395	76	200	230	101300000	1000	0	0	-1	50	265446676
133.551	1881	71	2395	76	200	230	101300000	1000	0	0	-1	50	265459236
129.54	1905	68	2393	76	200	230	101300000	1000	0	0	-1	50	265471796
128.588	1891	68	2405	76	200	230	101300000	1000	0	0	-1	50	265484356
131.918	1858	71	2393	76	200	230	101300000	1000	0	0	-1	50	265496916
126.956	1867	68	2393	76	200	230	101300000	1000	0	0	-1	50	265509476
140.325	1871	75	2403	76	200	230	101300000	1000	0	0	-1	50	265522036
132.86	1898	70	2393	76	200	230	101300000	1000	0	0	-1	50	265534596
143.488	1888	76	2396	76	200	230	101300000	1000	0	0	-1	50	265547156
133.409	1879	71	2393	76	200	230	101300000	1000	0	0	-1	50	265559716
134.496	1868	72	2405	76	200	230	101300000	1000	0	0	-1	50	265572276
131.24	1930	68	2390	76	200	230	101300000	1000	0	0	-1	50	265584836
126.956	1867	68	2400	76	200	230	101300000	1000	0	0	-1	50	265597396
141.45	1886	75	2390	76	200	230	101300000	1000	0	0	-1	50	265609956
130.22	1915	68	2395	76	200	230	101300000	1000	0	0	-1	50	265622516
137.314	1934	71	2402	76	200	230	101300000	1000	0	0	-1	50	265635076
139.786	1889	74	2392	76	200	230	101300000	1000	0	0	-1	50	265647636
126.563	1889	67	2392	76	200	230	101300000	1000	0	0	-1	50	265660196
133.56	1855	72	2403	76	200	230	101300000	1000	0	0	-1	50	265672756
131.376	1932	68	2390	76	200	230	101300000	1000	0	0	-1	50	265685316
137.304	1907	72	2397	76	200	230	101300000	1000	0	0	-1	50	265697876
130.893	1897	69	2395	76	200	230	101300000	1000	0	0	-1	50	265710436
133.14	1902	70	2390	76	200	230	101300000	1000	0	0	-1	50	265722996
146.072	1922	76	2399	76	200	230	101300000	1000	0	0	-1	50	265735556
133.906	1886	71	2395	76	200	230	101300000	1000	0	0	-1	50	265748116
130.272	1888	69	2392	76	200	230	101300000	1000	0	0	-1	50	265760676
134.9	1900	71	2392	76	200	230	101300000	1000	0	0	-1	50	265773236
130.583	1949	67	2405	76	200	230	101300000	1000	0	0	-1	50	265785796
143.108	1883	76	2390	76	200	230	101300000	1000	0	0	-1	50	265798356
133	1900	70	2392	76	200	230	101300000	1000	0	0	-1	50	265810916
128.044	1883	68	2390	76	200	230	101300000	1000	0	0	-1	50	265823476
143.475	1913	75	2399	76	200	230	101300000	1000	0	0	-1	50	265836036
217.626	1577	138	2312	76	200	230	101300000	1000	0	0	-1	100	274381836
221.946	1563	142	2310	76	200	230	101300000	1000	0	0	-1	100	274394396
223.234	1529	146	2315	76	200	230	101300000	1000	0	0	-1	100	274406956
228.96	1590	144	2314	76	200	230	101300000	1000	0	0	-1	100	274419516
219.696	1592	138	2312	76	200	230	101300000	1000	0	0	-1	100	274432076
229.392	1593	144	2305	76	200	230	101300000	1000	0	0	-1	100	274444636
236.812	1622	146	2315	76	200	230	101300000	1000	0	0	-1	100	274457196
220.5	1575	140	2307	76	200	230	101300000	1000	0	0	-1	100	274469756
231.819	1577	147	2305	76	200	230	101300000	1000	0	0	-1	100	274482316
234.33	1605	146	2314	76	200	230	101300000	1000	0	0	-1	100	274494876
231.56	1654	140	2318	76	200	230	101300000	1000	0	0	-1	100	274507436
234.3	1650	142	2311	76	200	230	101300000	1000	0	0	-1	100	274519996
227.808	1582	144	2321	76	200	230	101300000	1000	0	0	-1	100	274532556
242.844	1652	147	2298	76	200	230	101300000	1000	0	0	-1	100	274545116
222.817	1603	139	2317	76	200	230	101300000	1000	0	0	-1	100	274557676
231.231	1617	143	2308	76	200	230	101300000	1000	0	0	-1	100	274570236
244.348	1651	148	2308	76	200	230	101300000	1000	0	0	-1	100	274582796
237.303	1683	141	2314	76	200	230	101300000	1000	0	0	-1	100	274595356
233.022	1641	142	2314	76	200	230	101300000	1000	0	0	-1	100	274607916
237.258	1614	147	2311	76	200	230	101300000	1000	0	0	-1	100	274620476
231.12	1605	144	2307	76	200	230	101300000	1000	0	0	-1	100	274633036
226.164	1604	141	2312	76	200	230	101300000	1000	0	0	-1	100	274645596
238.71	1635	146	2307	76	200	230	101300000	1000	0	0	-1	100	274658156
236.964	1612	147	2304	76	200	230	101300000	1000	0	0	-1	100	274670716
228.62	1610	142	2312	76	200	230	101300000	1000	0	0	-1	100	274683276
229.46	1639	140	2304	76	200	230	101300000	1000	0	0	-1	100	274695836
235.2	1600	147	2312	76	200	230	101300000	1000	0	0	-1	100	274708396
227.505	1569	145	2305	76	200	230	101300000	1000	0	0	-1	100	274720956
226.8	1575	144	2314	76	200	230	101300000	1000	0	0	-1	100	274733516
223.485	1585	141	2312	76	200	230	101300000	1000	0	0	-1	100	274746076
237.993	1619	147	2302	76	200	230	101300000	1000	0	0	-1	100	274758636
231.231	1573	147	2317	76	200	230	101300000	1000	0	0	-1	100	274771196
221.62	1583	140	2307	76	200	230	101300000	1000	0	0	-1	100	274783756
227.556	1548	147	2312	76	200	230	101300000	1000	0	0	-1	100	274796316
228.085	1573	145	2305	76	200	230	101300000	1000	0	0	-1	100	274808876
228.8	1600	143	2308	76	200	230	101300000	1000	0	0	-1	100	274821436
225.654	1578	143	2307	76	200	230	101300000	1000	0	0	-1	100	274833996
230.096	1576	146	2315	76	200	230	101300000	1000	0	0	-1	100	274846556
215.97	1565	138	2308	76	200	230	101300000	1000	0	0	-1	100	274859116
223.223	1561	143	2310	76	200	230	101300000	1000	0	0	-1	100	274871676
238.14	1620	147	2311	76	200	230	101300000	1000	0	0	-1	100	274884236
234.868	1654	142	2318	76	200	230	101300000	1000	0	0	-1	100	274896796
239.44	1640	146	2310	76	200	230	101300000	1000	0	0	-1	100	274909356
234.9	1620	145	2323	76	200	230	101300000	1000	0	0	-1	100	274921916
231.381	1641	141	2299	76	200	230	101300000	1000	0	0	-1	100	274934476
234.318	1594	147	2317	76	200	230	101300000	1000	0	0	-1	100	274947036
242.721	1629	149	2308	76	200	230	101300000	1000	0	0	-1	100	274959596
